Abkuerzung Betriebspunkt;Bezeichnung Betriebspunkt;Abkuerzung Betriebspunkt Strecke;Bezeichnung Betriebspunkt Strecke;LINIE;Kilometrierung des Betriebspunktes;LINIENNAME;VERWALTUNG;E;N;geopos;BPUIC;Didok Nummer;Name Haltestelle;lod
CHRI;Chriesbach (Abzw);CHRI;Chriesbach (Abzw);747;108.74105;Neugut West (Abzw) - Chriesbach (Abzw);SBB CFF;2688679.38;1251047.959;1251047.96114,2688679.38062;8503149;3149;Chriesbach (Abzw);http://lod.opentransportdata.swiss/didok/8503149
CHZ;Choindez;CHZ;Choindez;226;79.21872;Sonceboz-Sombeval - Moutier - Delemont;SBB CFF;2595254.685;1241463.112;1241463.11116,2595254.68055;8500107;107;Choindez;http://lod.opentransportdata.swiss/didok/8500107
COI;Vernier;COI;Vernier;151;64.775;Geneve St-Jean - La Plaine-Frontiere;SBB CFF;2496241.851;1119699.001;1119699.00114,2496241.85048;8501007;1007;Vernier;http://lod.opentransportdata.swiss/didok/8501007
CORN;Cornaux;CORN;Cornaux;216;0.0;Cornaux - Raffinerie - Juracime;SBB CFF;2568439.194;1209810.291;1209810.29116,2568439.19053;8504223;4223;Cornaux;http://lod.opentransportdata.swiss/didok/8504223
COTD;Cottendart (embr);BOLE;Bole;219;7.6866;Auvernier - Les Verrieres frontiere;SBB CFF;2554879.583;1202417.387;1202417.39116,2554879.58052;8504339;4339;Cottendart (embr);http://lod.opentransportdata.swiss/didok/8504339
COUS;Cousset;COUS;Cousset;253;31.76659;Payerne Est - Fribourg Nord;SBB CFF;2564808.571;1185376.409;1185376.41115,2564808.57053;8504136;4136;Cousset;http://lod.opentransportdata.swiss/didok/8504136
CRET;Le Cret-du-Locle;CRET;Le Cret-du-Locle;224;33.4;Chambrelien Nord - Le Locle (Frontiere);SBB CFF;2550327.458;1214232.145;1214232.14117,2550327.46051;8504315;4315;Le Crêt-du-Locle;http://lod.opentransportdata.swiss/didok/8504315
CS;Corcelles-Sud;CS;Corcelles-Sud;253;29.73142;Payerne Est - Fribourg Nord;SBB CFF;2563266.514;1186524.361;1186524.36115,2563266.51053;8504135;4135;Corcelles-Sud;http://lod.opentransportdata.swiss/didok/8504135
CTT;Courtetelle;CTT;Courtetelle;240;87.86985;Delemont - Delle;SBB CFF;2590879.959;1243559.687;1243559.69117,2590879.96054;8500120;120;Courtételle;http://lod.opentransportdata.swiss/didok/8500120
DAET;Dattwil;DAET;Dattwil;703;47.44333;ZH Oerlikon Nord - Wettingen - Gruemet;SBB CFF;2664278.732;1255781.202;1255781.20115,2664278.7306;8502108;2108;Dättwil;http://lod.opentransportdata.swiss/didok/8502108
