BPUIC;y_Koord_Ost;x_Koord_Nord
8589174;2571594;1186833
8504333;2571605;1163965
8504753;2571608;1214462
8504864;2571618;1189022
8581997;2571622;1214716
8581575;2571629;1216973
8593287;2571653;1161698
8577776;2571653;1173240
8571929;2571664;1231568
8507738;2602139;1187461
8501990;2617328;1127364
8587098;2571678;1125817
8580548;2571697;1105594
8504913;2571703;1163536
8580547;2571852;1105759
8588599;2571855;1168643
8579119;2571878;1127369
8582793;2571879;1207190
8576766;2571932;1229401
8577797;2571933;1182527
8582639;2571949;1105988
8504984;2571958;1199983
8570960;2571967;1105822
8577737;2571969;1159117
8504974;2571993;1181983
8582036;2572028;1251927
8582396;2572029;1250920
8593445;2681925;1225515
8504267;2572060;1167606
8579116;2572094;1125857
8557068;2572186;1106427
8595090;2572193;1181951
8571928;2572198;1231042
8500867;2578465;1238971
8571526;2572202;1209935
8504703;2572224;1207996
8504923;2572228;1168525
8596072;2572230;1199917
8504914;2572243;1163580
8501292;2572255;1106051
8582034;2572279;1251624
8570989;2572280;1104609
8571752;2619608;1199004
8570512;2628491;1172197
8577791;2572288;1181856
8557072;2572303;1251495
8582028;2572303;1251050
8504041;2572323;1169592
8582766;2572344;1251902
8580368;2572422;1208493
8503718;2572425;1181736
8583606;2572437;1105700
8557067;2572448;1106562
8504565;2572463;1211191
8504919;2572476;1160355
8504915;2572489;1163601
8577790;2572525;1181753
8504908;2572529;1169606
8504541;2572530;1159066
8504991;2572521;1208328
8501710;2572601;1125895
8504610;2572603;1187457
8571927;2572607;1230674
8595693;2572650;1178020
8504611;2572540;1184029
8501758;2572687;1136568
8595692;2572690;1176830
8583603;2572705;1105890
8582037;2572712;1251259
8504763;2572714;1217941
8557125;2572722;1252453
8583657;2572725;1251820
8582024;2572731;1252513
8581463;2572749;1108248
8570991;2572753;1104226
8501632;2572648;1181714
8582126;2572785;1250753
8508655;2629588;1216382
8594990;2572793;1157242
8504905;2572839;1172591
8577739;2573061;1164014
8571926;2573091;1230451
8504648;2573116;1190443
8583496;2573143;1212985
8504926;2573163;1166611
8531347;2573168;1127475
8582127;2573168;1251743
8504670;2573240;1099490
8570999;2573332;1108658
8501778;2573346;1122890
8504609;2573353;1177731
8557065;2573353;1106622
8500888;2573372;1230897
8596125;2573451;1231407
8583602;2573457;1105741
8577726;2573473;1161273
8594544;2573508;1178740
8572039;2573564;1244468
8571897;2573577;1212835
8577774;2573583;1178672
8501346;2573612;1137764
8501884;2573620;1087000
8504604;2573658;1186189
8531476;2573693;1086756
8571925;2573698;1230400
8588342;2573698;1181675
8577781;2573712;1174297
8571525;2573726;1210446
8572777;2633437;1225655
8576676;2633973;1199350
8504906;2573728;1176745
8583604;2573731;1105942
8579450;2573768;1088099
8582128;2573774;1251821
8531474;2573781;1097181
8571898;2573817;1213339
8577749;2573817;1167195
8505380;2716866;1095958
8501703;2573847;1125723
8571001;2573885;1108821
8571896;2573907;1212507
8582086;2573909;1251230
8577733;2573929;1157025
8583497;2573998;1212867
8571524;2574004;1209911
8577836;2574017;1189928
8501883;2574120;1084900
8500889;2574142;1230277
8588202;2574190;1238937
8504853;2574266;1167619
8587476;2574300;1097850
8577780;2574308;1175939
8501702;2574310;1139610
8531477;2574323;1086481
8572068;2574349;1255406
8588603;2574355;1179919
8577807;2574364;1184132
8572072;2574380;1259328
8504616;2574383;1189587
8504531;2574413;1185765
8571104;2635116;1129045
8589766;2665681;1209718
8504546;2574420;1174453
8572038;2574422;1245166
8501347;2574470;1145545
8501799;2574481;1141040
8588864;2574538;1167681
8571923;2574619;1230269
8501528;2574624;1090197
8589173;2574687;1182628
8500868;2574800;1238900
8572073;2574810;1259560
8571003;2574815;1109300
8531177;2574879;1131244
8500884;2574882;1234129
8587003;2574941;1196715
8583639;2825155;1205165
8501344;2574991;1141795
8504910;2575003;1163086
8504607;2575010;1184320
8595680;2575028;1195237
8501882;2575050;1097690
8589130;2575056;1182632
8575731;2706827;1147561
8501274;2575069;1109530
8501343;2575081;1144676
8592364;2575088;1230346
8583453;2575113;1197317
8579117;2575116;1125675
8519698;2575195;1107965
8500003;2575137;1126963
8502352;2640212;1233631
8505703;2642646;1131164
8595879;2575232;1197442
8504944;2575262;1181020
8594783;2575285;1184672
8571135;2634908;1126910
8504857;2575295;1179947
8595682;2575330;1191507
8595679;2575305;1195731
8572107;2575308;1242593
8500883;2575420;1235600
8588827;2575435;1171387
8588340;2575438;1182558
8589134;2575461;1182685
8593462;2680640;1225830
8504577;2575477;1197776
8595880;2575504;1197692
8571899;2575521;1215146
8582502;2638893;1261886
8531176;2575525;1131474
8577805;2575528;1184482
8578259;2628217;1256940
8504762;2575533;1218081
8500658;2575542;1242716
8571005;2575604;1110122
8501349;2575617;1145293
8579118;2575645;1125833
8570906;2605186;1105033
8519649;2575688;1185106
8570531;2575700;1201509
8587806;2582348;1202427
8589131;2575703;1183023
8505730;2645071;1127104
8576733;2647742;1178775
8579110;2530161;1182358
8501531;2575735;1094710
8519654;2575737;1214097
8579445;2575766;1093604
8590223;2672621;1250637
8595697;2575789;1196905
8577766;2575804;1176566
8570619;2575967;1146691
8587451;2575968;1184604
8501704;2575975;1130418
8577892;2576064;1198342
8594781;2576197;1184936
8588350;2576231;1185235
8583564;2576232;1259935
8504624;2576234;1181732
8531370;2576294;1116724
8577804;2576294;1184622
8501534;2576320;1096450
8589168;2576350;1182417
8531175;2576359;1132079
8577767;2576360;1176448
8504917;2576379;1162591
8501529;2576421;1098078
8502050;2650864;1226346
8577254;2657722;1228443
8500786;2658052;1258399
8508857;2658067;1176777
8593286;2572066;1161239
8501700;2576646;1141597
8504623;2576664;1182012
8591687;2576805;1182523
8500882;2576888;1236278
8571903;2576908;1217942
8508871;2592619;1213456
8531194;2592636;1152529
8572009;2592662;1246039
8582682;2592691;1232190
8587632;2592699;1224961
8508873;2592704;1217253
8577860;2592710;1185327
8570745;2592716;1122364
8582395;2592726;1244795
8571989;2592730;1253432
8589061;2592730;1218750
8580763;2592769;1186277
8571673;2592891;1185172
8502967;2658350;1255072
8581316;2592920;1245865
8571997;2592924;1245150
8583784;2592932;1243256
8570695;2592941;1119688
8571998;2592951;1244354
8581234;2592964;1245390
8500666;2592969;1242187
8500669;2592972;1243947
8583088;2592992;1245487
8570738;2592994;1121430
8583555;2593019;1244838
8582587;2593399;1245570
8581138;2593411;1247040
8583277;2593430;1119890
8583272;2593440;1120430
8570748;2593466;1123442
8571462;2593504;1217442
8570739;2593019;1121711
8571984;2593538;1246378
8577763;2593552;1160682
8582944;2593573;1120338
8594163;2593576;1223310
8581224;2593578;1247131
8531199;2593615;1149462
8581222;2593618;1246772
8571466;2593641;1212646
8571675;2593655;1183290
8582186;2609558;1180398
8594162;2609583;1262911
8588423;2615009;1158998
8500727;2623570;1095960
8572233;2623575;1259350
8588378;2623589;1189770
8588630;2623591;1214193
8582009;2632822;1128384
8571115;2632845;1121057
8571079;2632848;1128550
8572827;2642100;1210069
8578763;2642108;1128471
8583232;2642125;1219020
8578541;2642139;1130481
8572826;2642152;1210638
8580966;2653192;1116553
8572443;2653350;1268138
8580932;2653377;1255866
8596122;2594158;1224948
